id,author,depth,source,timestamp,long,lat,elevation
02Ce7B0p,Bobby Liebs,223,MountainHub,Sun Mar 19 2017 03:16:32 GMT+0000 (UTC),-145.6837446,61.16554486,820.4415894
0aq0tQuj,Katreen Wikstrom Jones,142,MountainHub,Sun Apr 30 2017 20:49:14 GMT+0000 (UTC),-145.725198,61.13287434,896.7874756
0Bwfedxb,Bobby Liebs,26,MountainHub,Sun Mar 19 2017 04:07:03 GMT+0000 (UTC),-145.6999961,61.18090382,720.3382568
0Rz5yxZm,Katreen Wikstrom Jones,86,MountainHub,Sun Apr 30 2017 22:41:34 GMT+0000 (UTC),-145.7481406,61.14728593,793.9481812
0Sp/ETjs,Katreen Wikstrom Jones,77,MountainHub,Sun Apr 30 2017 22:59:11 GMT+0000 (UTC),-145.7493762,61.14799873,809.5413818
0uvOqe13,Katreen Wikstrom Jones,81,MountainHub,Sun Apr 30 2017 18:18:30 GMT+0000 (UTC),-145.7356158,61.13267502,828.4591675
0xPocbHk,Kevin Salys,174.9999934,MountainHub,Mon May 01 2017 18:43:45 GMT+0000 (UTC),-145.7339518,61.13543374,820.7919922
1kpM7T9J,Gabriel Wolken,100,MountainHub,Sun Mar 19 2017 00:38:47 GMT+0000 (UTC),-145.7384513,61.13870253,794.7061768
1+xvCeUS,Gabriel Wolken,201,MountainHub,Sat Mar 18 2017 23:31:07 GMT+0000 (UTC),-145.714624,61.14168552,823.4140625
1YQxgifV,Kevin Salys,77.99999706,MountainHub,Mon May 01 2017 19:12:12 GMT+0000 (UTC),-145.7242523,61.13495234,867.7991333
22MaVGKM,Bobby Liebs,155,MountainHub,Sat Mar 18 2017 22:03:52 GMT+0000 (UTC),-145.8620202,61.26207685,985.4051514
2Kq+kTdd,Katreen Wikstrom Jones,124,MountainHub,Sun Apr 30 2017 23:21:10 GMT+0000 (UTC),-145.7413857,61.14841217,753.5678711
2Sondqtm,Katreen Wikstrom Jones,142,MountainHub,Sun Apr 30 2017 20:28:29 GMT+0000 (UTC),-145.7255633,61.13224469,891.3108521
3IRKnjOw,Katreen Wikstrom Jones,78,MountainHub,Sun Apr 30 2017 22:54:06 GMT+0000 (UTC),-145.7512973,61.14741883,820.3161621
3pPAKCfn,Gabriel Wolken,150,MountainHub,Sun Apr 30 2017 20:02:27 GMT+0000 (UTC),-145.7267431,61.13303519,880.168457
3uCY/4Xo,Naomi F. Ray,80,MountainHub,Sun Apr 30 2017 22:05:09 GMT+0000 (UTC),-145.7182121,61.16137424,704.3972168
3v6lmLvT,Benjamin Stolen,79.99999699,MountainHub,Fri Mar 17 2017 22:55:38 GMT+0000 (UTC),-145.5211438,61.19523639,664.6881104
43WWwqeD,Katreen Wikstrom Jones,160,MountainHub,Sun Apr 30 2017 22:34:44 GMT+0000 (UTC),-145.7479828,61.14606088,813.2510376
44MG80JV,Gabriel Wolken,204,MountainHub,Sun Apr 30 2017 19:24:18 GMT+0000 (UTC),-145.732339,61.13283411,849.1559448
44ORX5Dc,Gabriel Wolken,111,MountainHub,Sun Apr 30 2017 20:23:46 GMT+0000 (UTC),-145.7274639,61.13323925,874.9509277
4a5sd2aX,Gabriel Wolken,2,MountainHub,Fri Mar 17 2017 22:02:59 GMT+0000 (UTC),-145.7546693,61.13493474,844.9263916
4p3AO1uj,Gabriel Wolken,124,MountainHub,Sun Mar 19 2017 01:12:12 GMT+0000 (UTC),-145.7091924,61.15571561,745.324585
4rAkwA+I,Katreen Wikstrom Jones,49,MountainHub,Sun Apr 30 2017 20:24:08 GMT+0000 (UTC),-145.7269193,61.13212667,879.7208862
50JqOKNS,Gabriel Wolken,26,MountainHub,Sun Mar 19 2017 01:23:25 GMT+0000 (UTC),-145.6991983,61.15639283,826.0325317
50MI8OnJ,Katreen Wikstrom Jones,23,MountainHub,Sat Mar 18 2017 23:49:27 GMT+0000 (UTC),-145.7151617,61.1402054,864.0693359
54UkIFh1,Bobby Liebs,190,MountainHub,Wed Mar 22 2017 02:13:37 GMT+0000 (UTC),-145.6365828,61.15469755,1508.918213
58lv9s7h,Gabriel Wolken,44,MountainHub,Sun Apr 30 2017 23:29:26 GMT+0000 (UTC),-145.7660036,61.13904024,862.4925537
58VosD1n,Bobby Liebs,65,MountainHub,Sun Mar 19 2017 03:50:14 GMT+0000 (UTC),-145.6930283,61.17986191,697.5512695
59qPLSI3,Katreen Wikstrom Jones,197,MountainHub,Fri Mar 17 2017 22:40:57 GMT+0000 (UTC),-145.7609473,61.13391177,858.156189
5AGffgLI,Bobby Liebs,200,MountainHub,Sun Mar 19 2017 22:52:42 GMT+0000 (UTC),-145.346946,61.40724387,1325.939087
5+E0IkNI,Naomi F. Ray,80,MountainHub,Sun Apr 30 2017 23:00:59 GMT+0000 (UTC),-145.7242629,61.15777572,706.7220459
5JYYwosI,Kevin Salys,39.99999849,MountainHub,Mon May 01 2017 19:35:51 GMT+0000 (UTC),-145.7321101,61.13329376,852.5789795
5K+H+Aes,Bobby Liebs,201,MountainHub,Sun Mar 19 2017 03:13:30 GMT+0000 (UTC),-145.6885267,61.16928713,697.5269165
5KtTds25,Katreen Wikstrom Jones,190,MountainHub,Sun Apr 30 2017 18:52:26 GMT+0000 (UTC),-145.7247934,61.12909364,873.5586548
5mYGd87W,Katreen Wikstrom Jones,170,MountainHub,Sun Apr 30 2017 23:07:08 GMT+0000 (UTC),-145.7473435,61.14792359,785.711853
5OrPCa3u,Gabriel Wolken,107,MountainHub,Sun Apr 30 2017 20:11:24 GMT+0000 (UTC),-145.7272093,61.13292937,876.8322754
5RIJ0yrX,Gabriel Wolken,54,MountainHub,Sun Mar 19 2017 00:58:49 GMT+0000 (UTC),-145.7190236,61.14884279,740.5445557
5VKLVWZW,Gabriel Wolken,115,MountainHub,Sat Mar 18 2017 23:09:26 GMT+0000 (UTC),-145.7308381,61.14179767,746.9545898
68zRby1v,Katreen Wikstrom Jones,90,MountainHub,Sat Mar 18 2017 18:33:55 GMT+0000 (UTC),-145.7448188,61.1438025,743.1056519
6BIbbpVp,Bobby Liebs,115,MountainHub,Sun Mar 19 2017 21:46:46 GMT+0000 (UTC),-145.3468192,61.40688005,1328.106079
6dQnm8Kh,Katreen Wikstrom Jones,112,MountainHub,Sun Apr 30 2017 19:42:22 GMT+0000 (UTC),-145.713684,61.13100379,946.1928101
6jzTSh9M,Bobby Liebs,141,MountainHub,Sun Mar 19 2017 03:08:43 GMT+0000 (UTC),-145.6856574,61.17300874,650.069519
6PYAVkYQ,Katreen Wikstrom Jones,188,MountainHub,Sun Apr 30 2017 19:13:43 GMT+0000 (UTC),-145.7163285,61.12827653,859.9663086
6RPr6L9H,Gabriel Wolken,96,MountainHub,Sun Apr 30 2017 19:12:11 GMT+0000 (UTC),-145.7325365,61.1329569,849.1222534
6W7BkXpD,Katreen Wikstrom Jones,54,MountainHub,Sat Mar 18 2017 23:43:46 GMT+0000 (UTC),-145.7146214,61.14046063,864.5697632
6wxIDgah,Gabriel Wolken,141,MountainHub,Sat Mar 18 2017 22:56:13 GMT+0000 (UTC),-145.7302857,61.1414883,753.4462891
6Y2+WxE1,Sarah Carter,80,MountainHub,Fri Mar 17 2017 22:30:07 GMT+0000 (UTC),-145.5169417,61.18815274,912.5192871
72baFV+Q,Katreen Wikstrom Jones,163,MountainHub,Sun Apr 30 2017 18:58:09 GMT+0000 (UTC),-145.7227167,61.12834665,863.1695557
79S3Wsoe,AK Rendezvous,175,SnowPilot,Wed Mar 15 2017 20:37:56 GMT+0000 (UTC),-145.253334,61.231154,995.5375977
7kM/q2Fe,Katreen Wikstrom Jones,48,MountainHub,Sun Apr 30 2017 19:33:29 GMT+0000 (UTC),-145.7135455,61.13032767,923.4926147
7MZV8Uk4,Gabriel Wolken,83,MountainHub,Sun Mar 19 2017 00:37:11 GMT+0000 (UTC),-145.7385706,61.13883224,793.9399414
7ou/ubAM,Naomi F. Ray,180,MountainHub,Fri May 05 2017 21:57:07 GMT+0000 (UTC),-145.7996422,61.13926334,1646.670898
7U58hXq/,Katreen Wikstrom Jones,95,MountainHub,Sun Apr 30 2017 20:55:03 GMT+0000 (UTC),-145.7269061,61.13352042,877.1671753
7w2D8MXW,Gabriel Wolken,85,MountainHub,Sun Mar 19 2017 00:40:33 GMT+0000 (UTC),-145.7382773,61.13879737,795.1445313
7yS8BKgL,Bobby Liebs,125,MountainHub,Sat Mar 18 2017 20:36:34 GMT+0000 (UTC),-145.8551945,61.26231154,969.5188599
8gTyh2ui,Katreen Wikstrom Jones,79,MountainHub,Sat Mar 18 2017 23:01:50 GMT+0000 (UTC),-145.7308762,61.14136575,755.2722168
8+l2dBxz,Katreen Wikstrom Jones,127,MountainHub,Sat Mar 18 2017 23:33:33 GMT+0000 (UTC),-145.7147355,61.14161201,824.480896
8mVLYNqS,Katreen Wikstrom Jones,91,MountainHub,Sat Mar 18 2017 22:38:29 GMT+0000 (UTC),-145.7260568,61.14237204,749.6713257
8PzdpgUi,Katreen Wikstrom Jones,125,MountainHub,Sun Apr 30 2017 23:36:08 GMT+0000 (UTC),-145.7447569,61.14691746,788.3255005
8WRqD71i,Sarah Carter,260,MountainHub,Wed Apr 12 2017 22:44:02 GMT+0000 (UTC),-145.4433031,61.17998938,1244.859253
8X1aBXNj,Max Wittenberg,135,SnowPilot,Sun Apr 02 2017 23:26:06 GMT+0000 (UTC),-145.640259,61.240297,1258.11499
94qao4P5,Katreen Wikstrom Jones,120,MountainHub,Sat Mar 18 2017 22:45:49 GMT+0000 (UTC),-145.7244323,61.14368855,739.1286621
#NAME?,Katreen Wikstrom Jones,80,MountainHub,Sun Apr 30 2017 22:39:06 GMT+0000 (UTC),-145.7479687,61.14665989,805.1121216
/9ShiXVi,Sarah Carter,110,MountainHub,Tue Mar 21 2017 01:34:30 GMT+0000 (UTC),-145.6892104,61.17539514,661.0253296
9Vx0s9z5,Bobby Liebs,221,MountainHub,Wed Mar 22 2017 01:39:23 GMT+0000 (UTC),-145.6153405,61.17048918,1178.418945
A4IIh/qj,Kevin Salys,171.9999935,MountainHub,Mon May 01 2017 19:33:04 GMT+0000 (UTC),-145.7308547,61.13357889,857.3771362
AbbZNQTx,Katreen Wikstrom Jones,244,MountainHub,Sat Mar 18 2017 23:13:40 GMT+0000 (UTC),-145.729401,61.14110009,763.9255981
AbP69IYu,Katreen Wikstrom Jones,94,MountainHub,Fri Mar 17 2017 20:43:47 GMT+0000 (UTC),-145.7664074,61.13804216,864.3649902
ACGpKHy+,Katreen Wikstrom Jones,0,MountainHub,Sat Mar 18 2017 18:26:21 GMT+0000 (UTC),-145.7448901,61.14415676,750.4569702
AnaoJ0uI,Katreen Wikstrom Jones,119,MountainHub,Sun Apr 30 2017 18:38:24 GMT+0000 (UTC),-145.7292436,61.1295629,846.5354614
aR8QQPh9,Bobby Liebs,147,MountainHub,Wed Mar 22 2017 02:54:41 GMT+0000 (UTC),-145.6539687,61.16851302,966.4434814
AT25z9Zs,Bobby Liebs,116,MountainHub,Sat Mar 18 2017 20:38:56 GMT+0000 (UTC),-145.8541282,61.26148442,960.0637207
AvkKsbow,Kevin Salys,239.999991,MountainHub,Thu Apr 13 2017 07:29:21 GMT+0000 (UTC),-145.775931,61.18249024,1719.303955
a/xwFldb,Katreen Wikstrom Jones,124,MountainHub,Sun Apr 30 2017 21:08:16 GMT+0000 (UTC),-145.7320915,61.13464246,839.7768555
B0mPMLmt,Naomi F. Ray,116,MountainHub,Sat Apr 29 2017 22:16:35 GMT+0000 (UTC),-145.7516617,61.13945361,778.9891968
B0yCYQCd,Kevin Salys,141.9999947,MountainHub,Sat Mar 25 2017 20:35:50 GMT+0000 (UTC),-145.2976391,61.22399512,1303.172363
b1FlC8/s,Kevin Salys,151.9999943,MountainHub,Mon May 01 2017 19:08:52 GMT+0000 (UTC),-145.7247478,61.13523775,857.2554321
b2ZP8O8c,Bobby Liebs,0,MountainHub,Tue Apr 25 2017 17:01:41 GMT+0000 (UTC),-145.5498152,61.2016171,495.1854858
BBtIBhus,Kevin Salys,23.9999991,MountainHub,Mon May 01 2017 19:25:30 GMT+0000 (UTC),-145.7274165,61.13363251,872.2891235
bhk4NB1h,Bobby Liebs,160,MountainHub,Sat Mar 18 2017 20:12:16 GMT+0000 (UTC),-145.8406622,61.25866177,891.7089233
bI27IuLj,Katreen Wikstrom Jones,77,MountainHub,Sun Apr 30 2017 20:32:25 GMT+0000 (UTC),-145.7267903,61.13218158,880.7978516
B/KYH1BJ,Gabriel Wolken,153,MountainHub,Sun Apr 30 2017 19:40:09 GMT+0000 (UTC),-145.7329809,61.132894,846.8856812
BoCxarUd,Katreen Wikstrom Jones,116,MountainHub,Sun Apr 30 2017 18:14:16 GMT+0000 (UTC),-145.7361097,61.13219159,825.1099854
brxTTXv4,Katreen Wikstrom Jones,158,MountainHub,Sat Mar 18 2017 18:57:56 GMT+0000 (UTC),-145.7505381,61.14336848,788.8303833
btykjB9n,Bobby Liebs,138,MountainHub,Sun Mar 19 2017 03:19:54 GMT+0000 (UTC),-145.6797448,61.16258194,944.2567139
Bu+GUX5I,Katreen Wikstrom Jones,182,MountainHub,Fri Mar 17 2017 21:41:58 GMT+0000 (UTC),-145.7529754,61.13740195,811.4720459
Bum35boK,Kevin Salys,149.9999943,MountainHub,Fri Mar 17 2017 10:25:12 GMT+0000 (UTC),-146.3277787,61.07290237,230.8287659
BzLgmVre,Katreen Wikstrom Jones,119,MountainHub,Sun Apr 30 2017 23:28:53 GMT+0000 (UTC),-145.7425525,61.14804491,759.9269409
c3p5EuQ8,Katreen Wikstrom Jones,57,MountainHub,Sun Mar 19 2017 00:26:35 GMT+0000 (UTC),-145.7404138,61.14011345,751.5344238
c5CP+2CP,Sarah Carter,230,MountainHub,Wed Apr 12 2017 19:43:43 GMT+0000 (UTC),-145.5651388,61.14685891,1476.862915
+c75O/0H,Gabriel Wolken,134,MountainHub,Fri Mar 17 2017 20:21:03 GMT+0000 (UTC),-145.7566715,61.14126735,806.1708374
c7RKhTMN,Sarah Carter,80,MountainHub,Mon Apr 17 2017 22:58:27 GMT+0000 (UTC),-146.0090722,61.05972205,55.15274048
cC5Rxai0,Katreen Wikstrom Jones,148,MountainHub,Sun Apr 30 2017 23:09:33 GMT+0000 (UTC),-145.7464796,61.14793951,774.8501587
CDTDvjZb,Katreen Wikstrom Jones,68,MountainHub,Sun Apr 30 2017 22:48:54 GMT+0000 (UTC),-145.7502833,61.14690619,815.5335083
Ci4qPy6i,Bobby Liebs,158,MountainHub,Sat Mar 18 2017 19:57:11 GMT+0000 (UTC),-145.7778763,61.25672899,671.9521484
ciIxB47D,Naomi F. Ray,100,MountainHub,Sun Apr 30 2017 23:45:52 GMT+0000 (UTC),-145.7098588,61.16484106,643.4404907
cIUi1+l9,Katreen Wikstrom Jones,102,MountainHub,Sun Apr 30 2017 18:44:21 GMT+0000 (UTC),-145.7287903,61.12919196,846.0305176
CKcCHD2j,Sarah Carter,160,MountainHub,Wed Apr 12 2017 20:20:03 GMT+0000 (UTC),-145.474628,61.17036491,1380.921509
cmZhj9VF,Katreen Wikstrom Jones,300,MountainHub,Sun Apr 30 2017 18:49:30 GMT+0000 (UTC),-145.7261494,61.12941509,870.593689
cTkF9wLp,Katreen Wikstrom Jones,23,MountainHub,Fri Mar 17 2017 20:45:37 GMT+0000 (UTC),-145.7668901,61.13803541,867.8247681
cwtTz/Wo,Katreen Wikstrom Jones,129,MountainHub,Sat Mar 18 2017 18:18:39 GMT+0000 (UTC),-145.7479735,61.14303145,754.3983154
CWUMf1aM,Katreen Wikstrom Jones,79,MountainHub,Fri Mar 17 2017 20:36:19 GMT+0000 (UTC),-145.7603158,61.13951071,822.4551392
CxBUvlS5,Sarah Carter,120,MountainHub,Sat Feb 11 2017 23:07:13 GMT+0000 (UTC),-145.8685295,61.08627454,453.9526978
D1UkdsZK,Sarah Carter,135,MountainHub,Mon Mar 27 2017 21:02:30 GMT+0000 (UTC),-145.7144651,61.15662778,721.5183105
d3VM3TiI,Bobby Liebs,148,MountainHub,Tue Apr 25 2017 16:28:36 GMT+0000 (UTC),-145.7086733,61.16647374,647.0637207
d7YVucUV,Katreen Wikstrom Jones,147,MountainHub,Sun Mar 19 2017 01:00:46 GMT+0000 (UTC),-145.717974,61.14899714,743.9528809
df55K4vj,Peter Biskind,350,MountainHub,Thu Apr 27 2017 02:47:51 GMT+0000 (UTC),-145.7350678,61.13858671,804.8483887
dFd0srtA,Bobby Liebs,252,MountainHub,Tue Mar 28 2017 02:22:41 GMT+0000 (UTC),-145.7007299,61.17917958,706.0327148
DgbWN6Mm,Katreen Wikstrom Jones,53,MountainHub,Sun Apr 30 2017 18:33:37 GMT+0000 (UTC),-145.7306383,61.13053981,845.7164917
dGGEK7FX,Kevin Salys,254.9999904,MountainHub,Sat Mar 25 2017 22:28:08 GMT+0000 (UTC),-145.2830395,61.21552013,1567.878052
DIxsxtUI,Naomi F. Ray,120,MountainHub,Fri May 05 2017 22:15:14 GMT+0000 (UTC),-145.7802266,61.14277467,1300.072388
DIyGYtif,Katreen Wikstrom Jones,56,MountainHub,Fri Mar 17 2017 23:15:47 GMT+0000 (UTC),-145.7718489,61.13361052,885.5422363
drAI2gI8,Sarah Carter,160,MountainHub,Wed Apr 12 2017 21:39:01 GMT+0000 (UTC),-145.4563456,61.15810545,1649.591064
DrBdXsKC,Naomi F. Ray,100,MountainHub,Sun Apr 30 2017 23:09:27 GMT+0000 (UTC),-145.7242629,61.15777572,706.7220459
Drzce6vA,Max Wittenberg,145,SnowPilot,Thu Mar 23 2017 05:53:46 GMT+0000 (UTC),-145.692701,61.003107,1126.212402
dtIy7PXm,Bobby Liebs,62,MountainHub,Sun Mar 19 2017 04:09:59 GMT+0000 (UTC),-145.6941901,61.18159231,713.4902954
DUQf6+w1,Katreen Wikstrom Jones,149,MountainHub,Sat Mar 18 2017 18:09:46 GMT+0000 (UTC),-145.7478009,61.14265807,750.4553223
dxrgCCWq,Katreen Wikstrom Jones,153,MountainHub,Sun Apr 30 2017 23:32:18 GMT+0000 (UTC),-145.7432495,61.14742692,776.9096069
Dzqf7ymk,Gabriel Wolken,63,MountainHub,Sun Mar 19 2017 00:57:17 GMT+0000 (UTC),-145.7183935,61.14884304,743.7849731
e8YIlers,Sarah Carter,190,MountainHub,Tue Apr 11 2017 22:16:24 GMT+0000 (UTC),-145.7055634,61.15395176,793.2316284
eAHvfyhA,Katreen Wikstrom Jones,78,MountainHub,Sun Apr 30 2017 19:45:16 GMT+0000 (UTC),-145.7154965,61.13110873,947.9648438
eCcKTxAg,Gabriel Wolken,129,MountainHub,Sun Apr 30 2017 19:36:50 GMT+0000 (UTC),-145.7332257,61.13297547,846.4624023
edGKGbJh,Katreen Wikstrom Jones,256,MountainHub,Sun Apr 30 2017 18:54:41 GMT+0000 (UTC),-145.7233842,61.12892143,874.3355103
EDwKRACL,Katreen Wikstrom Jones,112,MountainHub,Sat Mar 18 2017 23:03:49 GMT+0000 (UTC),-145.731425,61.14096086,763.1060181
efstlIlR,Bobby Liebs,160,MountainHub,Sat Mar 18 2017 20:11:47 GMT+0000 (UTC),-145.8408265,61.25865649,892.5802002
elh+gUTn,Katreen Wikstrom Jones,214,MountainHub,Sun Apr 30 2017 23:00:49 GMT+0000 (UTC),-145.7490321,61.14791256,804.2874146
ENjzS6Ov,Katreen Wikstrom Jones,300,MountainHub,Sun Apr 30 2017 20:01:54 GMT+0000 (UTC),-145.7249023,61.13080062,901.2151489
EPbLdSsF,Katreen Wikstrom Jones,284,MountainHub,Fri Mar 17 2017 19:57:18 GMT+0000 (UTC),-145.7523998,61.14221786,777.6777954
EQEMut/H,Katreen Wikstrom Jones,205,MountainHub,Fri Mar 17 2017 19:50:39 GMT+0000 (UTC),-145.7519024,61.14235012,777.8465576
eqK3t6qG,Kevin Salys,239.999991,MountainHub,Mon May 01 2017 19:30:16 GMT+0000 (UTC),-145.7296241,61.13359182,862.5401611
eSaUbdWc,Kevin Salys,139.9999947,MountainHub,Fri Apr 07 2017 20:24:29 GMT+0000 (UTC),-145.821207,61.16220896,1733.978149
/eTizyOb,Katreen Wikstrom Jones,31,MountainHub,Fri Mar 17 2017 20:47:46 GMT+0000 (UTC),-145.7672794,61.13784351,869.5477295
euqm+m9E,Sarah Carter,120,MountainHub,Tue Apr 11 2017 20:54:05 GMT+0000 (UTC),-145.7055366,61.15392488,793.7835693
Ewaq5uKQ,Bobby Liebs,120,MountainHub,Sun Mar 19 2017 03:58:25 GMT+0000 (UTC),-145.7055897,61.18005691,769.7938843
eY1AE9kT,Katreen Wikstrom Jones,153,MountainHub,Sat Mar 18 2017 18:50:18 GMT+0000 (UTC),-145.7488789,61.14261834,758.2999878
E+yrrz1S,Gabriel Wolken,124,MountainHub,Sun Mar 19 2017 01:06:36 GMT+0000 (UTC),-145.7145565,61.1520896,739.2663574
F1rrRXgS,Sarah Carter,95,MountainHub,Sun Mar 26 2017 23:33:23 GMT+0000 (UTC),-145.7533058,61.25038796,711.1209717
F3VycfbC,Katreen Wikstrom Jones,177,MountainHub,Sun Apr 30 2017 19:30:44 GMT+0000 (UTC),-145.7130162,61.13000848,912.9794312
F5Gd1g+3,Katreen Wikstrom Jones,168,MountainHub,Sun Apr 30 2017 21:01:34 GMT+0000 (UTC),-145.7289521,61.13359946,865.0974731
f6VMKIKf,Gabriel Wolken,158,MountainHub,Sat Mar 18 2017 22:30:10 GMT+0000 (UTC),-145.7260117,61.14397303,727.581604
F7PWQw3W,Gabriel Wolken,53,MountainHub,Sat Mar 18 2017 18:45:19 GMT+0000 (UTC),-145.7430238,61.14469479,746.862854
f9G4HI4U,Gabriel Wolken,154,MountainHub,Sun Apr 30 2017 20:31:35 GMT+0000 (UTC),-145.7270278,61.13325375,877.9463501
fafGE2SU,Katreen Wikstrom Jones,121,MountainHub,Sun Apr 30 2017 19:36:32 GMT+0000 (UTC),-145.7127893,61.13064903,936.4966431
fdaxnTZd,Bobby Liebs,218,MountainHub,Sat Mar 18 2017 20:30:51 GMT+0000 (UTC),-145.8611597,61.26205703,981.7182617
/fdF9e4K,Kevin Salys,65.99999751,MountainHub,Mon May 01 2017 18:40:05 GMT+0000 (UTC),-145.7350622,61.13532494,819.4804077
fEB4eTOY,Katreen Wikstrom Jones,151,MountainHub,Sun Apr 30 2017 23:11:26 GMT+0000 (UTC),-145.7464729,61.14837043,774.4873657
FeG3iNIQ,Bobby Liebs,135,MountainHub,Sat Mar 18 2017 19:41:53 GMT+0000 (UTC),-145.7421452,61.23347646,611.1918335
