depth_cm,depth_mm,depth_m,source,LAT,LON,elevation,date_agg,date_agg2,M,D,Y,SWE_hill,SWE_sturm,albersX,albersY,Snow_Class,DOY,Dist_Snotel_km
82,820,0.82,MountainHub,61.132297,-145.731754,823,2017 10 31,2017 10 29,10,29,2017,0.169,0.19,442712.801,1266526.962,1,-63,7.957775722
208,2080,2.08,MountainHub,61.138277,-146.359709,25,2017 10 31,2017 10 29,10,31,2017,0.416,0.519,409167.5774,1263163.478,3,-61,38.75591298
45,450,0.45,MountainHub,61.123677,-145.727463,733,2017 11 30,2017 11 29,11,26,2017,0.116,0.102,443061.1534,1265598.928,3,-35,8.650973431
76,760,0.76,MountainHub,61.067558,-146.330706,391,2017 11 30,2017 12 8,12,4,2017,0.201,0.189,408048.7439,1262166.328,3,-27,39.2813505
66,660,0.66,MountainHub,61.130567,-146.382544,120,2017 11 30,2017 12 8,12,6,2017,0.176,0.164,411625.3032,1255485.505,3,-25,40.11171074
152,1520,1.52,MountainHub,61.229568,-145.507822,1001,2017 12 31,2017 12 29,12,24,2017,0.383,0.445,453251.0148,1278830.393,1,-7,8.672334112
185,1850,1.85,MountainHub,61.171511,-145.694557,642,2018 1 15,2018 1 15,1,15,2018,0.552,0.576,444147.0149,1271127.166,1,15,3.322159102
351,3510,3.51,MountainHub,61.090497,-145.864614,512,2018 1 31,2018 2 8,2,4,2018,1.156,1.363,436260.2173,1261010.469,3,35,16.18594812
356,3560,3.56,MountainHub,61.090458,-145.863611,515,2018 1 31,2018 2 8,2,4,2018,1.172,1.386,436206.1743,1261008.21,3,35,16.15008222
95,950,0.95,fieldwork,61.457,-145.123,609,2018 3 1,2018 3 8,3,5,2018,0.253,0.206,470113.8328,1306388.603,2,64,39.15678985
101,1010,1.01,fieldwork,61.45421,-145.12695,663,2018 3 1,2018 3 8,3,5,2018,0.266,0.219,470280.2797,1306725.824,2,64,39.50287759
114,1140,1.14,fieldwork,61.4514,-145.13432,745,2018 3 1,2018 3 8,3,5,2018,0.3,0.247,469112.0328,1305890.745,2,64,40.86472183
105,1050,1.05,fieldwork,61.45099,-145.14688,867,2018 3 1,2018 3 8,3,5,2018,0.277,0.327,469767.5074,1306024.975,1,64,39.99610273
90,900,0.9,fieldwork,61.45096,-145.15637,1031,2018 3 1,2018 3 8,3,5,2018,0.236,0.195,443418.6739,1270780.809,2,64,40.49429391
117,1170,1.17,fieldwork,61.16925,-145.70884,653,2018 3 1,2018 3 8,3,6,2018,0.415,0.369,468612.5966,1305820.42,1,65,4.09262265
123,1230,1.23,fieldwork,61.17239,-145.71349,705,2018 3 1,2018 3 8,3,6,2018,0.436,0.389,447663.3432,1273426.61,1,65,4.078945725
143,1430,1.43,fieldwork,61.18797,-145.6241,526,2018 3 1,2018 3 8,3,6,2018,0.484,0.459,443127.5727,1271098.236,1,65,7.266687303
141,1410,1.41,fieldwork,61.17757,-145.66961,622,2018 3 1,2018 3 8,3,6,2018,0.493,0.452,442904.9042,1267932.166,1,65,7.641202977
142,1420,1.42,fieldwork,61.14455,-145.72495,722,2018 3 1,2018 3 8,3,6,2018,0.507,0.455,445389.3197,1271966.607,1,65,1.904207282
83,830,0.83,fieldwork,61.13222,-145.73049,869,2018 3 1,2018 3 8,3,6,2018,0.298,0.255,443272.4755,1266608.66,1,65,1.336223243
118,1180,1.18,fieldwork,61.1324,-145.72122,951,2018 3 1,2018 3 8,3,6,2018,0.422,0.372,442781.1998,1266526.844,1,65,7.926572058
103,1030,1.03,fieldwork,61.1338,-145.71227,1061,2018 3 1,2018 3 8,3,6,2018,0.364,0.321,419842.9507,1263721.054,1,65,6.64028819
73,730,0.73,fieldwork,61.13213,-146.16097,116,2018 3 1,2018 3 8,3,7,2018,0.256,0.257,443729.7081,1266823.798,3,66,27.488016
94,940,0.94,fieldwork,61.13274,-146.14417,220,2018 3 1,2018 3 8,3,7,2018,0.335,0.204,421174.2618,1263695.591,2,66,28.38340857
114,1140,1.14,fieldwork,61.1305,-146.1364,441,2018 3 1,2018 3 8,3,7,2018,0.405,0.412,420730.4776,1263895.124,3,66,26.646725
110,1100,1.1,fieldwork,61.12778,-146.13246,598,2018 3 1,2018 3 8,3,7,2018,0.391,0.239,421713.4491,1263122.251,2,66,27.01729681
140,1400,1.4,fieldwork,61.12484,-146.12769,763,2018 3 1,2018 3 8,3,7,2018,0.503,0.449,421420.2564,1263418.495,1,66,27.14386538
174,1740,1.74,fieldwork,61.12383,-146.12297,804,2018 3 1,2018 3 8,3,7,2018,0.624,0.569,421978.4767,1263040.061,1,66,26.646725
109,1090,1.09,fieldwork,61.12383,-146.12297,589,2018 3 1,2018 3 8,3,7,2018,0.393,0.342,421978.4767,1263040.061,1,66,26.8590454
150,1500,1.5,SnowPilot,61.168269,-145.641497,942,2018 3 15,2018 3 22,3,16,2018,0.518,0.567,444804.6517,1293101.337,7,75,2.572748585
180,1800,1.8,SnowPilot,61.236188,-145.252592,879,2018 3 15,2018 3 22,3,16,2018,0.552,0.692,442323.8836,1271997.796,7,75,4.348114786
140,1400,1.4,SnowPilot,61.181264,-145.726279,770,2018 3 15,2018 3 22,3,16,2018,0.517,0.453,448350.6103,1285772.746,1,75,21.84056061
215,2150,2.15,SnowPilot,61.365699,-145.630877,1317,2018 3 15,2018 3 22,3,18,2018,0.749,0.726,434951.8656,1278913.007,1,77,19.49094682
100,1000,1,SnowPilot,61.250751,-145.846983,1028,2018 3 15,2018 3 22,3,19,2018,0.394,0.369,466698.3923,1281332.352,7,78,12.58780618
200,2000,2,SnowPilot,61.2967,-145.582254,962,2018 3 15,2018 3 22,3,21,2018,0.653,0.672,447015.051,1271123.414,1,80,12.29314784
235,2350,2.35,SnowPilot,61.290586,-145.76618,1188,2018 3 31,2018 3 29,3,23,2018,0.896,0,411703.023,1256348.685,0,82,38.82155877
343,3430,3.43,MountainHub,61.075144,-146.327421,216,2018 3 31,2018 3 29,3,23,2018,1.226,1.445,438689.6195,1283865.962,7,82,12.77754484
165,1650,1.65,MountainHub,61.197657,-145.520992,723,2018 3 31,2018 3 29,3,25,2018,0.57,0.546,442565.9162,1271726.813,1,84,6.872584397
40,400,0.4,SnowPilot,61.178591,-145.722427,748,2018 3 31,2018 3 29,3,27,2018,0.153,0.145,453006.3689,1275200.526,7,86,20.71985464
60,600,0.6,SnowPilot,61.008093,-145.714162,816,2018 3 31,2018 3 29,3,27,2018,0.234,0.22,446214.6524,1252645.318,7,86,4.236883915
75,750,0.75,SnowPilot,61.005253,-145.699267,1031,2018 3 31,2018 3 29,3,27,2018,0.303,0.235,445378.5901,1252860.505,1,86,9.72492661
175,1750,1.75,MountainHub,61.140901,-145.79578,1540,2018 3 31,2018 3 29,3,27,2018,0.707,0.584,439183.5549,1267056.785,1,86,20.91074932
70,700,0.7,SnowPilot,60.900428,-145.775123,1224,2018 3 31,2018 4 8,4,7,2018,0.303,0.222,443606.2372,1240503.339,1,97,7.684791427
90,900,0.9,SnowPilot,61.107798,-145.913636,853,2018 3 31,2018 4 8,4,7,2018,0.357,0.289,433355.7012,1262607.918,1,97,7.90295317
109,1090,1.09,fieldwork,61.13229,-145.72992,889,2018 4 1,2018 4 8,4,5,2018,0.421,0.42,442364.0441,1269578.911,7,95,5.321600693
102,1020,1.02,fieldwork,61.1322,-145.7221,953,2018 4 1,2018 4 8,4,5,2018,0.394,0.329,442757.0087,1269691.239,1,95,7.298866874
111,1110,1.11,fieldwork,61.13379,-145.71348,1050,2018 4 1,2018 4 8,4,5,2018,0.423,0.36,443826.8119,1270560.387,1,95,6.335208717
54,540,0.54,fieldwork,61.16032,-145.72361,747,2018 4 1,2018 4 8,4,5,2018,0.208,0.169,441594.5456,1269438.729,1,95,5.67544652
68,680,0.68,fieldwork,61.15976,-145.73114,851,2018 4 1,2018 4 8,4,5,2018,0.262,0.256,419932.2402,1263729.391,3,95,27.32097935
241,2410,2.41,fieldwork,61.15937,-145.7457,993,2018 4 1,2018 4 8,4,5,2018,0.939,0.523,443925.0089,1271103.659,2,95,28.29649201
129,1290,1.29,fieldwork,61.16684,-145.7018,651,2018 4 1,2018 4 8,4,7,2018,0.494,0.28,421268.7173,1263537.876,2,97,26.81486672
157,1570,1.57,fieldwork,61.17155,-145.69872,648,2018 4 1,2018 4 8,4,7,2018,0.601,0.623,420888.5673,1263947.706,3,97,27.1137384
69,690,0.69,fieldwork,61.13211,-146.1593,142,2018 4 1,2018 4 8,4,6,2018,0.259,0.218,420726.873,1263889.064,1,96,27.49354149
60,600,0.6,fieldwork,61.13304,-146.14113,280,2018 4 1,2018 4 8,4,6,2018,0.23,0.188,421736.8254,1263180.228,1,96,17.05504223
113,1130,1.13,fieldwork,61.129,-146.135,506,2018 4 1,2018 4 8,4,6,2018,0.433,0.368,442810.5894,1266538.413,1,96,33.13617479
153,1530,1.53,fieldwork,61.12533,-146.12713,767,2018 4 1,2018 4 8,4,6,2018,0.594,0.605,443665.3998,1266814.604,7,96,3.491150793
109,1090,1.09,fieldwork,61.13269,-146.14425,219,2018 4 1,2018 4 8,4,6,2018,0.417,0.421,443228.3828,1266580.591,7,96,3.960862909
144,1440,1.44,fieldwork,61.20559,-145.39759,461,2018 4 15,2018 4 8,4,8,2018,0.479,0.569,444358.3753,1271579.402,7,98,27.51573989
110,1100,1.1,fieldwork,61.19987,-145.39319,640,2018 4 15,2018 4 8,4,8,2018,0.365,0.358,437856.5743,1247390.665,1,98,9.7990875
163,1630,1.63,fieldwork,61.19762,-146.39094,779,2018 4 15,2018 4 8,4,8,2018,0.664,0.546,446182.106,1271396.121,1,98,13.56456664
107,1070,1.07,fieldwork,61.45748,-145.12268,614,2018 4 15,2018 4 15,4,9,2018,0.311,0.415,446118.7413,1271551.245,7,99,39.95534444
113,1130,1.13,fieldwork,61.45549,-145.12562,640,2018 4 15,2018 4 15,4,9,2018,0.329,0.369,446167.7784,1271386.758,1,99,13.74076044
400,4000,4,SnowPilot,61.14053,-145.796923,1097,2018 4 15,2018 4 8,4,8,2018,1.672,1.455,459764.4501,1276324.268,1,98,2.847332473
100,1000,1,SnowPilot,60.967855,-145.865095,919,2018 4 15,2018 4 8,4,8,2018,0.42,0.217,459448.0863,1276928.212,2,98,40.64644828
300,3000,3,MountainHub,61.175287,-145.689593,636,2018 4 15,2018 4 15,4,9,2018,1.158,0.651,470289.9767,1306781.295,2,99,40.91521467
244,2440,2.44,MountainHub,61.173069,-145.657081,757,2018 4 15,2018 4 15,4,15,2018,0.948,0.851,406743.5701,1269565.214,1,105,2.070582985
171,1710,1.71,MountainHub,61.171622,-145.656271,786,2018 4 15,2018 4 15,4,15,2018,0.662,0.578,439127.7925,1267008.048,1,105,2.229149159
235,2350,2.35,MountainHub,61.171555,-145.656558,786,2018 4 15,2018 4 15,4,15,2018,0.912,0.817,470164.8063,1306539.899,1,105,2.218714352
153,1530,1.53,fieldwork,61.17488,-145.71062,682,2018 5 15,2018 5 15,5,13,2018,0.636,0.524,443183.5269,1272236.992,1,133,4.109274269
134,1340,1.34,fieldwork,61.17744,-145.719,842,2018 5 15,2018 5 15,5,13,2018,0.559,0.561,443251.5962,1272056.159,7,133,3.821357863
212,2120,2.12,fieldwork,61.17812,-145.72763,1000,2018 5 15,2018 5 15,5,13,2018,0.899,0.916,442584.2368,1272100.973,7,133,4.339922741
199,1990,1.99,fieldwork,61.1779,-145.72395,917,2018 5 15,2018 5 15,5,13,2018,0.843,0.694,442984.2373,1272210.863,1,133,4.518664423
136,1360,1.36,fieldwork,61.17629,-145.71654,773,2018 5 15,2018 5 15,5,13,2018,0.564,0.57,441997.2544,1272198.8,7,133,5.362435212
249,2490,2.49,fieldwork,61.15915,-145.72251,717,2018 5 15,2018 5 15,5,13,2018,1.05,0.884,454820.1591,1275184.956,1,133,4.037578314
163,1630,1.63,fieldwork,61.16082,-145.72751,778,2018 5 15,2018 5 15,5,13,2018,0.682,0.561,454612.9852,1275463.867,1,133,4.518664423
212,2120,2.12,fieldwork,61.17812,-145.72763,1000,2018 5 15,2018 5 15,5,13,2018,0.899,0.916,454986.6015,1274824.117,7,133,5.448780848
89,890,0.89,fieldwork,61.20376,-145.48564,532,2018 5 15,2018 5 15,5,14,2018,0.335,0.296,454905.4891,1274954.625,1,134,8.790804656
88,880,0.88,fieldwork,61.20263,-145.48634,575,2018 5 15,2018 5 15,5,14,2018,0.332,0.293,455247.4462,1274514.927,1,134,8.847090395
104,1040,1.04,fieldwork,61.20021,-145.49109,654,2018 5 15,2018 5 15,5,14,2018,0.393,0.349,455067.5744,1274665.399,1,134,8.503363459
117,1170,1.17,fieldwork,61.19816,-145.49062,710,2018 5 15,2018 5 15,5,14,2018,0.443,0.395,436034.8975,1260962.673,1,134,8.502142605
124,1240,1.24,fieldwork,61.19545,-145.48745,760,2018 5 15,2018 5 15,5,14,2018,0.47,0.42,455391.7252,1274154.622,1,134,8.981193609
152,1520,1.52,fieldwork,61.19331,-145.48642,821,2018 5 15,2018 5 15,5,14,2018,0.578,0.521,436371.4586,1260534.184,1,134,8.697000072
179,1790,1.79,fieldwork,61.19206,-145.48523,885,2018 5 15,2018 5 15,5,14,2018,0.668,0.62,436247.7518,1260857.026,1,134,8.651370284
192,1920,1.92,fieldwork,61.19056,-145.48411,956,2018 5 15,2018 5 15,5,14,2018,0.717,0.669,436484.8965,1259850.592,1,134,8.818407763
224,2240,2.24,fieldwork,61.18902,-145.48114,1042,2018 5 15,2018 5 15,5,14,2018,0.83,0.789,436444.8086,1260277.264,1,134,8.758369438
263,2630,2.63,fieldwork,61.18566,-145.47933,1180,2018 5 15,2018 5 15,5,15,2018,0.979,1.161,436564.3864,1259046.745,3,135,9.096373656
99,990,0.99,fieldwork,61.09028,-145.86788,375,2018 5 15,2018 5 15,5,15,2018,0.419,0.331,436474.1521,1259229.464,1,135,16.27740165
187,1870,1.87,fieldwork,61.08911,-145.86419,440,2018 5 15,2018 5 15,5,15,2018,0.812,0.802,443855.523,1271987.714,3,135,16.32987779
176,1760,1.76,fieldwork,61.08611,-145.86264,470,2018 5 15,2018 5 15,5,15,2018,0.749,0.752,444304.7087,1271968.663,3,135,17.54557548
154,1540,1.54,fieldwork,61.08375,-145.86187,540,2018 5 15,2018 5 15,5,15,2018,0.654,0.334,443245.5789,1271393.72,2,135,16.61442053
152,1520,1.52,fieldwork,61.07992,-145.8621,583,2018 5 15,2018 5 15,5,15,2018,0.645,0.643,442295.72,1271639.879,3,135,16.45457425
196,1960,1.96,fieldwork,61.07442,-145.86371,715,2018 5 15,2018 5 15,5,15,2018,0.836,0.684,442764.2033,1271621.92,1,135,17.44623769
94,940,0.94,fieldwork,61.0727,-145.86246,750,2018 5 15,2018 5 15,5,15,2018,0.391,0.314,442911.0522,1271510.7,1,135,16.93373606
105,1050,1.05,fieldwork,61.1788,-145.68968,681,2018 5 15,2018 5 22,5,16,2018,0.438,0.353,442494.5163,1271639.978,1,136,2.626343689
102,1020,1.02,fieldwork,61.17947,-145.69795,761,2018 5 15,2018 5 22,5,16,2018,0.425,0.342,442542.5052,1269720.734,1,136,3.474002703
120,1200,1.2,fieldwork,61.18075,-145.70897,810,2018 5 15,2018 5 22,5,16,2018,0.504,0.502,442831.818,1269568.729,7,136,2.981139405
235,2350,2.35,fieldwork,61.18243,-145.70981,872,2018 5 15,2018 5 22,5,16,2018,0.999,0.832,454797.5016,1276119.163,1,136,3.653841395
154,1540,1.54,fieldwork,61.18242,-145.71356,950,2018 5 15,2018 5 22,5,16,2018,0.65,0.653,442295.72,1271639.879,7,136,3.459473451
151,1510,1.51,fieldwork,61.18189,-145.72122,1030,2018 5 15,2018 5 22,5,16,2018,0.64,0.518,454558.7164,1275688.054,1,136,4.588233726
240,2400,2.4,fieldwork,61.18341,-145.73186,1165,2018 5 15,2018 5 22,5,16,2018,1.026,0.851,454776.4738,1275989.021,1,136,4.067142008